Id,in_degree,out_degree,in_strength_total,out_strength_total,in_strength_count,out_strength_count
2986,8,14,716068.0,706955.0,522,364
2987,19,20,480423.0,3664933.0,121,1324
3003,8,26,301813.0,2166720.0,208,1687
3051,4,12,25386.0,637940.0,17,622
3052,5,12,530745.0,248265.0,45,633
3066,4,8,3443.0,655588.0,10,792
3130,4,6,311048.0,868937.0,39,867
3131,6,13,10906.0,2448918.0,40,720
3138,10,14,1139552.0,7449308.0,65,1060
3143,13,14,68892.0,331904.0,271,909
3148,8,9,165779.0,604933.0,273,751
3163,18,12,514732.0,7482473.0,366,745
3170,4,11,1374388.0,185691.0,120,175
3171,7,14,97954.0,758346.0,44,484
3185,4,7,10190.0,1196188.0,9,284
3187,7,13,247717.0,5804440.0,458,1337
1130,7,13,148037.0,2016363.0,60,905
3219,12,19,4940820.0,1454076.0,4659,861
3223,3,15,1856.0,111743.0,13,898
3228,13,26,4373774.0,5437841.0,793,808
3236,10,15,79611.0,694995.0,162,1278
3253,15,30,4360699.0,1450389.0,3465,831
3259,5,8,252365.0,663995.0,46,315
3267,6,18,28503.0,953088.0,24,1026
3269,9,4,235324.0,755963.0,348,352
3278,7,16,111922.0,1430532.0,24,653
3295,10,15,4973198.0,495703.0,1713,590
3316,9,16,111024.0,892981.0,70,787
3323,9,15,11569.0,1001676.0,28,1117
3328,7,16,550299.0,1392537.0,224,651
3331,8,21,142755.0,1432045.0,57,1638
3341,10,15,16204851.0,1418379.0,6366,767
3343,9,17,383492.0,1990735.0,138,1085
3361,5,8,2866905.0,2368958.0,67,502
3367,15,19,412284.0,1654430.0,1171,1130
3371,9,16,847748.0,1380353.0,478,1283
3394,14,23,78632.0,10665051.0,54,1279
3396,10,25,382788.0,655677.0,321,1764
3400,8,13,1177407.0,659470.0,568,567
943,5,9,4973625.0,1717480.0,1632,510
3409,4,8,81683.0,2260105.0,25,1005
3412,7,11,290858.0,990189.0,55,450
3424,14,29,2737088.0,1969481.0,2478,838
3427,5,13,390675.0,707283.0,23,446
3435,12,24,177346.0,874209.0,123,1218
3444,6,12,8891.0,459998.0,10,265
3454,10,29,157479.0,304080.0,322,530
3457,4,14,21177.0,791926.0,33,1142
3461,7,10,273589.0,1830328.0,147,586
3465,7,15,66614.0,566192.0,79,282
3471,11,14,4737833.0,4216099.0,6157,985
3482,3,2,69718.0,911178.0,70,603
3488,5,14,45931441.0,8696875.0,372,1541
3489,5,3,226923.0,762187.0,246,224
3494,15,29,122335.0,1820288.0,237,1652
3509,7,18,135437.0,556791.0,45,801
3510,3,11,97713.0,1080165.0,49,789
3538,7,15,1725891.0,934284.0,886,596
3563,9,13,40622.0,1458093.0,84,3705
3577,9,13,2764348.0,993269.0,2563,1181
3578,10,11,237106.0,961567.0,106,820
3624,3,3,3431303.0,1323136.0,424,372
3633,9,13,475475.0,1595705.0,1138,750
3664,10,18,1069867.0,246371.0,2057,509
3684,8,13,83333.0,296175.0,215,331
3692,9,18,1929099.0,1574225.0,3046,996
3693,6,6,215633.0,3268886.0,824,328
3713,12,13,1141206.0,1023574.0,1112,559
3732,11,8,911691.0,5945061.0,744,816
3743,9,9,38140.0,173176.0,159,108
3753,7,8,54266.0,1719346.0,215,542
3757,10,13,97007.0,1035436.0,173,2157
3760,10,17,938484.0,914034.0,517,642
3762,6,13,22640.0,326024.0,10,259
3791,9,18,57348.0,702984.0,142,1330
789,7,21,229657.0,1338585.0,688,548
3803,8,9,642951.0,2760081.0,54,615
3814,8,23,8485760.0,5549449.0,636,1048
3824,7,8,7443801.0,2037749.0,3193,641
3829,4,12,235894.0,2063695.0,72,931
3843,7,12,121900.0,945828.0,68,780
3868,14,20,3336138.0,1931919.0,2915,1702
3871,13,23,1638157.0,1148040.0,1052,1375
3882,3,9,28109.0,120426.0,39,363
1145,8,14,205460.0,882220.0,69,696
3885,7,9,20114.0,2392387.0,11,559
3890,6,15,139869.0,3227201.0,85,995
794,10,25,712111.0,16408971.0,369,1521
3900,9,7,1034952.0,98057.0,720,207
3902,12,15,242162.0,1434216.0,237,1022
3907,8,16,917440.0,1845012.0,715,764
3913,7,9,17540.0,385910.0,12,346
3940,6,17,17239.0,472848.0,14,245
3942,8,15,807517.0,580809.0,957,633
3950,5,20,11358.0,998742.0,14,1180
3960,11,17,73520.0,100819.0,19,65
3998,8,15,274254.0,758036.0,206,541
4005,8,15,496540.0,1186863.0,201,1709
4020,15,16,5285706.0,3016117.0,2587,1375
4021,14,23,3750378.0,5738625.0,795,1555
1001,7,15,65737.0,1954550.0,127,1636
4055,9,18,2637262.0,1353530.0,4669,1147
4064,9,18,792698.0,2292016.0,192,2018
4079,6,12,64531.0,664887.0,48,623
4094,8,23,717128.0,1249531.0,928,1059
4098,10,17,979359.0,336944.0,422,859
4114,7,12,620289.0,2347909.0,1268,1032
4115,10,22,415229.0,1729156.0,179,2090
4145,11,15,29395.0,1889618.0,154,924
4148,12,16,134344.0,1534028.0,56,713
4152,3,10,389526.0,1034117.0,203,551
4166,5,12,8750.0,496614.0,11,424
4200,7,9,26765.0,2302886.0,27,494
4205,10,16,314589.0,2013874.0,584,873
4206,12,14,914725.0,1100183.0,235,674
4217,14,24,5199931.0,10216550.0,1559,2235
4221,9,17,98153.0,588843.0,533,1055
4224,2,5,42346.0,478844.0,10,160
4229,5,9,2598221.0,1348424.0,321,808
4238,8,11,36619.0,1258768.0,22,1015
4262,8,3,1306666.0,2145056.0,92,178
4267,10,16,58968.0,890308.0,28,889
4284,7,16,179455.0,1672403.0,35,1484
4287,5,20,357848.0,774794.0,68,884
4297,5,16,2494968.0,577998.0,2377,430
1078,8,13,57016.0,998767.0,40,928
4335,8,18,488416.0,6349425.0,182,1407
4356,8,20,547865.0,2327608.0,868,1104
4363,5,12,1722072.0,1064146.0,93,466
4415,6,13,432261.0,12102671.0,40,901
800,15,13,450841.0,3281115.0,227,492
4427,10,21,588877.0,1152929.0,3117,1288
4447,6,7,144477.0,2990455.0,92,316
801,13,28,808422.0,3266137.0,296,3076
4470,7,6,127461.0,1327060.0,36,819
4487,6,16,36667.0,2429075.0,20,1567
4510,8,19,47155.0,1476719.0,43,846
4535,6,11,56825.0,1769001.0,23,523
4557,3,10,7550.0,1010894.0,14,977
4561,8,9,68501.0,1354794.0,125,479
4564,8,24,102154.0,948334.0,66,1312
4565,9,19,57319.0,459869.0,75,1157
4570,5,14,709501.0,1969355.0,151,2431
4590,10,9,121894.0,99142.0,644,220
4594,5,14,36971.0,828527.0,59,934
4645,8,27,110144.0,1303936.0,48,785
4652,7,27,77136.0,2232670.0,28,967
4667,3,7,3246.0,259962.0,7,486
4671,9,21,136181.0,2559811.0,117,459
4675,12,17,181294.0,3249963.0,147,3533
4680,7,18,42357.0,1388994.0,33,829
4701,5,9,687317.0,3387809.0,268,1449
4702,9,12,120622.0,227379.0,49,409
4705,7,10,217526.0,766526.0,195,361
4708,9,23,1306824.0,1013030.0,1465,1495
4712,10,13,1994637.0,1242308.0,1661,1062
4729,8,14,2147750.0,406655.0,413,357
4746,9,26,118089.0,786329.0,173,518
4756,8,14,225069.0,1221416.0,121,1066
4767,5,4,43910.0,100058.0,14,129
4768,5,19,378417.0,982484.0,118,1280
4785,3,15,1303798.0,1992861.0,647,1139
4788,9,11,22434.0,239298.0,142,508
4800,7,14,34061.0,1629199.0,44,1813
4803,10,17,719428.0,622131.0,431,302
4808,12,25,344386.0,5033059.0,307,2001
4821,8,17,368029.0,727627.0,83,364
4836,7,22,64178.0,1719338.0,26,1252
1165,11,25,265030.0,2041377.0,1487,1175
4863,16,19,317314.0,4383513.0,275,2013
4865,7,9,1153564.0,421348.0,2129,439
806,14,17,93066.0,766934.0,175,681
949,7,18,991703.0,1161442.0,146,1638
4883,13,11,181112.0,96611.0,38,312
4891,9,16,40369.0,1416429.0,14,833
4894,8,29,441362.0,2680865.0,201,2657
4902,10,17,145918.0,407277.0,226,1224
4903,6,16,359960.0,1214350.0,932,1005
4905,10,13,5683045.0,1835733.0,3430,225
4921,9,23,328460.0,5446101.0,379,949
4934,8,24,121096.0,7923673.0,43,1392
808,8,19,1082837.0,3655182.0,829,3175
4986,6,19,97191.0,3558950.0,13,1047
5004,9,9,632607.0,529837.0,2251,1308
5005,7,21,817488.0,990255.0,610,823
1170,9,13,121672.0,2228307.0,58,1208
5021,10,17,274006.0,1261432.0,60,1054
5030,3,7,3734.0,3111488.0,13,367
5034,8,18,619329.0,364941.0,1129,508
5064,7,11,174950.0,1286951.0,46,778
5088,5,19,9262569.0,5573450.0,115,927
5096,7,8,150835.0,520851.0,67,563
5121,3,10,184771.0,994686.0,169,1405
5140,14,17,269466.0,2137676.0,59,955
5149,5,15,535438.0,1006561.0,160,1277
5163,9,7,1534400.0,569442.0,2390,574
954,4,16,49155.0,2007973.0,34,1308
5196,7,16,61672.0,540569.0,8,277
5212,9,26,996826.0,1426251.0,1070,1446
5217,9,15,504957.0,1267560.0,136,1262
5221,6,7,229250.0,147395.0,734,208
5238,6,6,1476365.0,247937.0,2723,269
5257,6,11,276519.0,3185978.0,185,859
5281,5,13,151760.0,1371455.0,138,1373
5287,2,2,17305.0,323206.0,5,385
5288,10,24,68927.0,694188.0,136,733
5314,14,20,5144659.0,652211.0,308,747
5333,8,27,3162694.0,723625.0,2433,552
5344,5,10,1432514.0,2536275.0,87,903
5389,8,13,18105938.0,13138446.0,5376,870
5403,8,28,1185993.0,2062004.0,115,1545
5406,9,29,326429.0,1927620.0,773,1294
5419,14,16,532319.0,1160035.0,896,1181
5421,6,6,45273.0,556246.0,18,96
5422,5,25,22560.0,1088502.0,19,1516
5424,8,23,151652.0,2634523.0,69,706
5431,5,9,59241.0,275835.0,22,313
5439,2,4,16163.0,41867.0,36,232
5479,7,15,2997090.0,319993.0,192,553
5486,5,5,1219010.0,1671873.0,324,426
5494,8,12,149741.0,714833.0,48,538
5506,4,21,63942.0,846086.0,134,1789
5514,7,11,3453475.0,1441247.0,848,876
5523,6,9,153744.0,617133.0,85,346
5533,6,5,62216.0,498432.0,18,134
5549,15,20,245742.0,2993062.0,135,814
5562,10,20,195965.0,4244756.0,115,826
5582,4,6,2039253.0,2680967.0,161,848
818,7,22,404593.0,1487814.0,372,2124
5666,5,11,358286.0,1364197.0,258,748
5673,10,15,872172.0,7306640.0,1281,1093
5679,9,15,398839.0,1583220.0,535,654
5688,7,14,906590.0,3160386.0,185,1274
5707,8,7,723498.0,2476678.0,162,560
5709,14,20,1826901.0,2888823.0,2515,1442
5710,13,15,39383.0,1018633.0,39,1008
