Source Target Total Count
33 4363 4000.0 2
33 4415 356864.0 13
33 800 14884.0 26
33 4427 19374.0 4
33 4447 7582.0 4
33 801 200761.0 136
33 4470 5860.0 3
33 4487 3622.0 2
33 4510 14749.0 16
33 4535 2934.0 2
33 4557 5152.0 7
33 4561 1623.0 5
33 4564 5789.0 11
33 4565 14010.0 14
33 4570 18369.0 6
33 4590 3543.0 18
33 4594 5281.0 3
33 4645 8616.0 3
33 4652 34489.0 14
33 4667 30.0 1
33 4671 1977.0 2
33 4675 85464.0 63
33 4680 19501.0 11
33 4701 240962.0 103
33 4702 988.0 1
33 4705 36555.0 4
33 4708 451119.0 1159
33 4712 41252.0 35
33 4729 4246.0 1
33 4746 1000.0 1
33 4756 788.0 7
33 4767 1200.0 1
33 4768 12896.0 17
33 4785 431909.0 162
33 4788 3755.0 1
33 4800 17887.0 17
33 4803 3813.0 3
33 4808 8630.0 10
33 4821 81.0 1
33 4836 43254.0 16
33 1165 39894.0 22
33 4863 10959.0 1
33 4865 1185.0 1
33 806 14288.0 35
33 949 474139.0 71
33 4883 89330.0 3
33 4891 6584.0 3
33 4894 9700.0 22
33 4902 11627.0 17
33 4903 159072.0 126
33 4905 688.0 1
33 4921 280678.0 331
33 4934 2000.0 2
33 808 95495.0 52
33 4986 7788.0 5
33 5004 16515.0 31
33 5005 29729.0 11
33 1170 12323.0 7
33 5021 10927.0 6
33 5030 146.0 1
33 5034 2956.0 2
33 5064 15608.0 24
33 5088 13482.0 8
33 5096 4450.0 10
33 5121 181154.0 160
33 5140 3961.0 4
33 5149 524698.0 135
33 5163 237.0 3
33 954 6876.0 28
33 5196 75.0 1
33 5212 40985.0 50
33 5217 19849.0 26
33 5221 48.0 1
33 5238 6676.0 2
33 5257 194751.0 135
33 5281 131883.0 120
33 5287 17290.0 4
33 5288 6326.0 6
33 5314 1493178.0 46
33 5333 267.0 1
33 5344 1330447.0 51
33 5389 2225.0 2
33 5403 679187.0 37
33 5406 7306.0 12
33 5419 1670.0 5
33 5421 5188.0 2
33 5422 9322.0 13
33 5424 10638.0 4
33 5431 1708.0 2
33 5439 14942.0 33
33 5479 1564391.0 99
33 5486 943.0 2
33 5494 5823.0 13
33 5506 29680.0 15
33 5514 11245.0 13
33 5523 349.0 1
33 5533 2118.0 1
33 5549 27416.0 16
33 5562 5754.0 4
33 5582 1939504.0 132
33 818 104755.0 188
33 5666 171882.0 112
33 5673 13745.0 3
33 5679 24712.0 8
33 5688 139.0 1
33 5707 3423.0 1
33 5709 26243.0 34
33 5710 8610.0 11
33 5753 99654.0 684
33 5772 886.0 3
33 5779 27970.0 17
33 5784 75292.0 48
33 5794 136550.0 21
33 5796 303.0 2
33 5806 1280.0 7
33 5812 474.0 2
33 5814 17044.0 13
33 5817 1808.0 2
33 5818 34945.0 39
33 5829 4000.0 1
33 5835 5512.0 3
33 5840 1674.0 1
33 5852 4791.0 3
33 5854 6581.0 2
33 5855 2794.0 7
33 5857 15470.0 85
33 5859 156.0 2
33 5860 4733.0 8
33 5889 658.0 1
33 5902 4534.0 8
33 5907 17855.0 10
33 5911 1075.0 1
33 5912 1324.0 14
33 5921 11983.0 30
33 5945 1909.0 1
33 5946 799.0 1
33 5955 26958.0 30
33 5960 5798.0 2
33 5981 774.0 2
33 5987 11791.0 1
33 5994 85.0 2
33 6009 2450635.0 26
33 6017 12812.0 6
33 6021 19149.0 10
33 6025 3112.0 2
33 6026 1038.0 2
33 6040 5885.0 3
33 6045 701749.0 657
33 6057 6125.0 2
33 6113 1052.0 2
33 6126 42.0 1
33 6128 148305.0 114
33 6139 6000.0 1
33 6154 1000.0 1
33 6169 46050.0 14
33 6170 14890.0 5
33 6177 23619.0 3
33 6180 388012.0 36
33 6199 21624.0 10
33 1196 18203.0 13
33 6209 697.0 2
33 6218 4984.0 2
33 6242 1293.0 2
33 6245 3122.0 2
33 6247 409.0 2
33 6255 456559.0 97
33 6259 10750.0 2
33 6273 3000.0 1
33 825 313373.0 31
33 6289 2059054.0 994
33 6294 10019.0 3
33 6308 36.0 1
33 6334 1064.0 2
33 6336 11485.0 2
