Id,in_degree,out_degree,in_strength_total,out_strength_total,in_strength_count,out_strength_count,cluster
1264828,0,1,0.0,16225.0,0,1,0
216256,0,1,0.0,2895.0,0,3,0
1166537,0,1,0.0,64.0,0,1,0
503928,1,0,2709.0,0.0,21,0,0
503970,1,0,131.0,0.0,2,0,0
969951,0,1,0.0,32925.0,0,5,0
496864,1,0,16188.0,0.0,78,0,0
1199342,0,1,0.0,200.0,0,1,0
484834,1,1,449.0,148.0,9,4,0
54123,1,0,223.0,0.0,7,0,0
1396024,0,1,0.0,3674.0,0,42,0
497360,1,0,8318.0,0.0,6,0,0
497384,1,0,937.0,0.0,1,0,0
494459,1,0,790.0,0.0,14,0,0
505671,1,0,25194.0,0.0,8,0,0
707928,0,1,0.0,231.0,0,1,0
576883,1,4,250.0,208416.0,1,152,0
653927,1,1,171659.0,250.0,100,1,0
653928,1,0,25846.0,0.0,21,0,0
221353,1,0,10493.0,0.0,29,0,0
55849,3,0,3775.0,0.0,25,0,0
553727,1,0,157519.0,0.0,56,0,0
1002875,0,1,0.0,612.0,0,4,0
1265022,0,1,0.0,3124.0,0,92,0
1232275,0,1,0.0,1886.0,0,4,0
576920,1,1,17.0,165.0,1,6,0
1068477,0,1,0.0,310.0,0,2,0
1166785,0,2,0.0,348.0,0,4,0
602911,1,0,3250.0,0.0,1,0,0
1363449,0,1,0.0,99.0,0,1,0
904701,0,1,0.0,2328.0,0,5,0
1035793,0,2,0.0,50247.0,0,5,0
634300,1,0,83578.0,0.0,40,0,0
1494616,0,1,0.0,3789.0,0,3,0
609884,1,1,8143.0,221.0,17,1,0
708195,0,1,0.0,589.0,0,1,0
970340,0,1,0.0,130.0,0,1,0
1494627,0,2,0.0,1238.0,0,2,0
839273,0,1,0.0,2408.0,0,1,0
740978,0,1,0.0,782.0,0,2,0
1527417,0,2,0.0,9324.0,0,2,0
1527445,0,4,0.0,62749.0,0,45,0
839326,0,1,0.0,6400.0,0,1,0
684461,1,3,2420.0,110232.0,4,111,0
684462,2,1,70409.0,2624.0,58,4,0
684488,1,1,47212.0,108375.0,32,26,0
741050,0,1,0.0,11593.0,0,42,0
1593023,0,1,0.0,8621.0,0,11,0
1068736,0,1,0.0,348.0,0,1,0
904898,0,1,0.0,1399.0,0,1,0
1396456,0,1,0.0,130956.0,0,103,0
1363711,0,1,0.0,117.0,0,1,0
1068805,0,1,0.0,1229.0,0,1,0
1363720,0,2,0.0,16522.0,0,72,0
1199884,0,2,0.0,13111.0,0,12,0
1593103,0,1,0.0,17300.0,0,1,0
1003283,0,1,0.0,4950.0,0,14,0
22911,1,0,4950.0,0.0,14,0,0
431416,2,0,65293.0,0.0,88,0,0
839465,0,1,0.0,2400.0,0,1,0
872248,0,1,0.0,1936.0,0,1,0
514324,1,0,8.0,0.0,2,0,0
479052,0,3,0.0,1693.0,0,5,0
499257,1,0,2080.0,0.0,2,0,0
806790,0,1,0.0,299.0,0,7,0
741258,0,1,0.0,4007.0,0,65,0
1200076,0,2,0.0,2872.0,0,3,0
872408,0,1,0.0,224.0,0,1,0
774149,0,1,0.0,79.0,0,1,0
544785,1,1,105.0,1309.0,1,7,0
496314,1,0,33.0,0.0,1,0,0
181299,1,0,1509.0,0.0,3,0,0
1429550,0,1,0.0,16139.0,0,31,0
546420,1,2,370.0,25436.0,1,25,0
1429585,0,1,0.0,81.0,0,1,0
905307,0,1,0.0,699.0,0,1,0
546842,1,0,43039.0,0.0,23,0,0
1593446,0,1,0.0,8950.0,0,1,0
1134695,0,1,0.0,5.0,0,1,0
53361,1,1,672.0,573.0,2,1,0
1429625,0,1,0.0,244.0,0,1,0
708736,0,1,0.0,7000.0,0,1,0
391698,1,0,7000.0,0.0,1,0,0
1462404,0,1,0.0,3800.0,0,1,0
1101970,0,1,0.0,23147.0,0,17,0
1364129,0,2,0.0,3311.0,0,8,0
217259,2,3,6207908.0,341078.0,347,220,0
1495216,0,1,0.0,1521.0,0,3,0
1396919,0,1,0.0,33.0,0,1,0
807124,0,1,0.0,147.0,0,1,0
1036500,0,1,0.0,61.0,0,1,0
1167573,0,1,0.0,124.0,0,1,0
1102049,0,2,0.0,1320.0,0,10,0
53555,1,1,1553.0,262.0,14,1,0
1102131,0,1,0.0,149.0,0,1,0
217408,1,2,12.0,4914.0,1,24,0
1167701,0,1,0.0,225.0,0,1,0
282967,0,1,0.0,5632.0,0,6,0
1167705,0,1,0.0,4035.0,0,2,0
872805,0,1,0.0,198.0,0,22,0
938348,0,1,0.0,116.0,0,1,0
578091,2,0,12820.0,0.0,16,0,0
610679,0,2,0.0,8858.0,0,141,0
774535,0,1,0.0,1800.0,0,1,0
655301,1,1,1500.0,52841.0,5,123,0
655306,1,1,84787.0,41.0,50,1,0
905641,0,1,0.0,22.0,0,1,0
807354,0,1,0.0,292.0,0,1,0
1167846,0,1,0.0,1341.0,0,4,0
119276,0,2,0.0,1302.0,0,7,0
414220,0,3,0.0,8632.0,0,54,0
643894,1,1,5082.0,6471.0,23,41,0
643905,1,0,2723.0,0.0,21,0,0
643914,1,0,827.0,0.0,10,0,0
152101,0,2,0.0,48500.0,0,2,0
93548,1,1,4000.0,14254.0,1,108,0
152104,0,2,0.0,8312.0,0,64,0
491358,1,0,1.0,0.0,1,0,0
1561176,0,1,0.0,733.0,0,2,0
270114,1,0,1597.0,0.0,2,0,0
486949,1,0,72306.0,0.0,32,0,0
156411,1,0,434.0,0.0,2,0,0
119779,2,5,13335246.0,1735697.0,1880,98,0
184956,0,4,0.0,30661.0,0,18,0
610959,1,1,5.0,318.0,1,3,0
1594044,0,1,0.0,287.0,0,1,0
905930,0,1,0.0,391.0,0,1,0
480019,1,1,837115.0,179377.0,282,23,0
1397526,0,1,0.0,52.0,0,1,0
1102653,0,1,0.0,203.0,0,1,0
348646,1,0,121.0,0.0,1,0,0
468625,1,0,15.0,0.0,1,0,0
1463135,0,1,0.0,389.0,0,1,0
516674,1,1,220896.0,13870.0,109,6,0
356160,1,0,981.0,0.0,2,0,0
1004398,0,1,0.0,22.0,0,1,0
742278,0,1,0.0,122.0,0,1,0
562666,1,0,229.0,0.0,1,0,0
562690,1,0,134.0,0.0,1,0,0
775082,0,1,0.0,153.0,0,1,0
1332167,0,1,0.0,11500.0,0,1,0
906193,0,1,0.0,1300.0,0,1,0
1233882,0,1,0.0,35217.0,0,15,0
1233884,1,1,35217.0,442.0,15,8,0
522333,1,1,9767.0,2045.0,9,1,0
494889,1,0,137.0,0.0,1,0,0
873452,0,1,0.0,67.0,0,1,0
526543,1,0,3876.0,0.0,24,0,0
564344,1,0,8520.0,0.0,14,0,0
1266684,0,1,0.0,126.0,0,7,0
1201149,0,1,0.0,312.0,0,2,0
676864,0,1,0.0,1035.0,0,3,0
643578,1,0,718.0,0.0,9,0,0
1430559,0,3,0.0,48150.0,0,131,0
644137,1,1,204060.0,179324.0,12,5,0
518547,1,2,179324.0,468401.0,5,57,0
1168434,0,1,0.0,1500.0,0,1,0
1365046,0,1,0.0,229.0,0,1,0
578636,1,1,187.0,1593.0,1,1,0
1234007,0,1,0.0,50.0,0,1,0
1496175,0,1,0.0,158.0,0,1,0
1332360,0,1,0.0,5763.0,0,16,0
1004691,0,1,0.0,16736.0,0,10,0
1070227,0,2,0.0,1585.0,0,70,0
531838,1,0,981.0,0.0,2,0,0
1332393,0,1,0.0,20561.0,0,13,0
316596,0,1,0.0,512.0,0,2,0
1463481,0,1,0.0,5165.0,0,16,0
611604,1,1,8742.0,75000.0,4,2,0
1135895,0,1,0.0,5900.0,0,2,0
1201438,0,1,0.0,26913.0,0,57,0
873760,0,1,0.0,67.0,0,1,0
1266976,0,1,0.0,420.0,0,70,0
1168678,0,1,0.0,262.0,0,2,0
1463645,0,2,0.0,437541.0,0,18,0
1103200,0,1,0.0,267.0,0,1,0
218475,0,1,0.0,750.0,0,1,0
513396,0,1,0.0,1120.0,0,4,0
120191,0,3,0.0,326.0,0,3,0
1136005,0,1,0.0,1618.0,0,14,0
1529247,0,1,0.0,26.0,0,1,0
1365409,0,1,0.0,746.0,0,1,0
808369,0,1,0.0,1500.0,0,1,0
1529297,0,1,0.0,39643.0,0,6,0
1398227,0,1,0.0,4.0,0,1,0
644564,0,1,0.0,13642.0,0,29,0
1463767,0,1,0.0,25.0,0,1,0
939484,0,1,0.0,2295.0,0,1,0
480741,1,2,2812.0,3338.0,2,8,0
1103377,0,1,0.0,3030.0,0,95,0
251416,1,3,1270.0,8108.0,9,10,0
284199,0,2,0.0,826.0,0,2,0
1594937,0,1,0.0,17.0,0,1,0
218695,0,4,0.0,3646954.0,0,267,0
109552,1,0,212694.0,0.0,176,0,0
684651,1,0,3961.0,0.0,4,0,0
677463,0,1,0.0,2799.0,0,4,0
1234526,0,1,0.0,1186.0,0,47,0
