,in_degree,out_degree,in_strength_total,out_strength_total,label
250,1,0,7775,0,0
251,1,0,10934,0,0
252,1,0,1002,0,0
253,1,0,2339,0,0
254,1,0,1199,0,0
255,1,0,651,0,0
256,1,0,9850,0,0
257,1,0,1597,0,0
258,1,0,5211,0,0
259,1,0,2348,0,0
260,1,0,76430,0,0
261,1,0,4824,0,0
262,1,0,731,0,0
263,1,0,312,0,0
264,1,0,295,0,0
265,1,1,95,143,0
266,1,0,390,0,0
267,1,0,43844,0,0
268,1,0,573,0,0
269,1,0,2608,0,0
270,1,0,7876,0,0
271,1,1,194,4143,0
272,2,0,1131008,0,0
273,1,0,2707,0,0
274,1,0,750,0,0
275,1,0,55,0,0
276,1,0,343,0,0
277,1,0,7208,0,0
278,1,0,12293,0,0
279,3,2,181304,48336,0
280,3,3,1177,3772,0
281,1,0,7264,0,0
282,1,0,374,0,0
283,1,0,71,0,0
284,1,0,9618,0,0
285,1,0,1689,0,0
286,1,0,158,0,0
287,1,0,3422,0,0
288,1,0,1782,0,0
289,1,0,25921,0,0
290,1,0,10489,0,0
291,1,0,138,0,0
292,1,0,529,0,0
293,1,0,2028,0,0
294,1,0,1329,0,0
295,1,0,550,0,0
296,1,0,11548,0,0
297,1,0,137,0,0
298,1,0,1825,0,0
299,1,0,504,0,0
300,1,0,78,0,0
301,1,0,29,0,0
302,1,0,486,0,0
303,1,0,136,0,0
304,1,0,19,0,0
305,1,0,6874,0,0
306,1,0,13337,0,0
307,1,0,184,0,0
308,1,0,705,0,0
309,1,0,503,0,0
310,1,0,402,0,0
311,1,0,8547,0,0
312,1,1,1769,202,0
313,1,0,170224,0,0
314,1,0,743,0,0
315,1,0,262,0,0
316,1,0,72,0,0
317,1,0,2308,0,0
318,1,0,14477,0,0
319,2,38,3989,389120,0
320,15,4,182894,20560,0
321,3,0,43851,0,0
322,1,0,56,0,0
323,1,0,886,0,0
324,1,0,2642,0,0
325,1,0,1447,0,0
326,1,0,367748,0,0
327,1,0,4935,0,0
328,1,0,36129,0,0
329,1,0,237,0,0
330,1,0,5679,0,0
331,1,0,5243,0,0
332,1,0,101,0,0
333,1,0,1647,0,0
334,1,0,13556,0,0
335,1,0,2901,0,0
336,1,0,18703,0,0
337,1,0,11001,0,0
338,1,0,270502,0,0
339,1,0,438,0,0
340,1,0,268113,0,0
341,1,0,14554,0,0
342,1,0,42347,0,0
343,1,0,107,0,0
344,1,0,2052787,0,0
345,1,0,3594,0,0
346,1,0,1382,0,0
347,1,0,633,0,0
348,1,0,1877,0,0
349,1,0,13994,0,0
350,1,0,414,0,0
351,1,0,5544,0,0
352,1,0,3449,0,0
353,1,0,41320,0,0
354,1,0,5511,0,0
355,1,0,10621,0,0
356,1,0,614,0,0
