,node2vec_0,node2vec_1,node2vec_2,node2vec_3,node2vec_4,node2vec_5,node2vec_6,node2vec_7,node2vec_8,node2vec_9,node2vec_10,node2vec_11,node2vec_12,node2vec_13,node2vec_14,node2vec_15
0,0.30439433,-1.3235879,0.88345426,1.89477,0.72857285,-0.78714436,2.025976,0.5003695,1.1908115,-0.42577112,-0.5547631,-0.22258453,0.09156808,1.068129,-0.91472316,0.28240454
1,0.059179503,-0.19129519,0.07413649,0.40874577,0.13866164,-0.08005582,0.39290324,0.02269703,0.26712245,-0.055704106,-0.13098912,0.039707895,0.14654264,0.17658287,-0.16444057,0.06551603
2,0.07164784,-0.13021795,0.08622684,0.994512,-0.26477706,-0.8310082,0.8934849,-0.89373326,0.078705765,0.31267744,0.13187559,0.24194582,0.06621082,-0.22250265,-0.03860849,-0.018402485
3,-2.1692593,-0.44159493,-1.4311149,1.5295432,0.021319136,0.23421335,3.3452759,-1.7912421,1.5125645,0.31166548,-0.08025481,1.1901324,0.4850906,0.3626825,0.40665388,2.0210872
4,-0.5977315,-2.192638,0.8435556,1.648275,1.0455662,0.44166714,1.467475,-0.71394765,0.6135285,-0.71613735,-0.33136207,-0.6590628,0.78687096,-0.38169888,-0.8712092,-0.41612723
5,0.36314172,0.710913,-0.40766257,1.7865806,-0.6121176,1.277847,2.1869936,-0.693133,-0.23549223,-0.24783377,0.19208726,-0.42777562,2.2210703,0.41833842,-0.51930845,-0.92888474
6,-0.038554676,0.052955627,-0.031159475,-0.008344881,0.03810817,-0.014926337,0.0018006191,-0.048054025,0.0029872432,0.015991837,0.04528445,-0.04480207,-0.023549497,-0.0448255,0.009484321,-0.0031796694
7,0.036531292,-0.057124354,-0.014365509,0.054693736,-0.04809235,-0.0199183,-0.027037278,-0.05544412,-0.0012229383,-0.008423343,-0.020632647,-0.058298975,0.033927307,-0.052881554,0.0430758,0.046069764
8,-0.043286204,0.04832141,0.0059626997,-0.026227146,0.052431755,0.05293694,-0.0394618,-0.009729132,-0.018924333,0.041645795,-0.037311643,-0.039959617,-0.045678206,-0.00082118064,0.023105182,0.052961312
9,0.036857586,-0.09359122,0.13646604,0.24310857,0.05682245,-0.058769964,0.29425448,-0.043481108,0.16952892,-0.08386351,0.00751304,-0.0396003,0.039999142,-0.003541199,-0.14150696,0.025204852
10,0.033925533,0.018444993,0.015242368,0.043752506,-0.03388898,0.046815023,0.022840396,-0.025390983,-0.031200133,0.03824091,0.020870484,-0.024152488,-0.023718901,0.0053967983,-0.028652355,0.058323935
11,0.017081711,-0.16065472,0.0927864,0.23677321,0.06923215,-0.0052245315,0.26822892,0.009415777,0.20163481,-0.09309889,-0.07219188,-0.047479656,0.016241932,0.06953114,-0.08027664,-0.021107651
12,0.05402296,-0.18149091,0.07234593,0.30965948,0.0027448558,-0.12939258,0.3270575,0.040387705,0.13794626,-0.009300246,-0.053229414,-0.04462209,0.07957669,0.083857544,-0.09633045,-0.024795653
13,0.052984007,-0.17604415,0.15887855,0.37300315,0.13374892,-0.07931739,0.5129608,0.049141806,0.14923675,-0.095340855,-0.073890924,-0.12381357,0.15945195,0.09523424,-0.19808297,0.054194823
14,-0.0034755692,-0.017662574,-0.069584385,0.18505985,-0.1742472,-0.027022472,0.1712884,-0.010579061,0.1689543,0.24595311,-0.11799887,0.012978285,0.124834135,-0.05744432,-0.059026904,-0.08878768
15,-1.9979249,0.5661333,-0.08025568,0.24840023,-0.8421208,-0.19751161,1.4486382,-0.77278906,1.317315,-0.18174565,-1.378743,1.0830014,1.8906025,-0.17501391,-0.67548776,-0.29891998
16,0.058089457,0.039270192,0.00097388774,0.03445925,-0.042302057,0.060667947,-0.024508841,-0.019663721,-0.054010183,0.04439281,-0.02643808,-0.054961696,-0.03081251,0.01399029,-0.04662367,-0.04661855
17,-0.022491798,0.05102019,0.0544267,0.060624786,0.043531112,-0.007975541,0.021617308,-0.060188115,0.03369412,0.0057018623,0.009024493,0.04325719,0.017391056,-0.048451588,-0.053179175,-0.040177815
18,0.060182743,0.012684725,0.042711094,0.040960014,0.055473223,-0.019960083,-0.02277127,-0.057328008,0.04759431,0.00050053,0.057391636,0.0011091605,-0.005899444,-0.009793617,0.009503715,-0.0022250488
19,-0.040977314,0.011745594,-0.020400226,0.012759842,-0.006497428,-0.006296724,-0.0070089027,-0.018863998,0.0036757737,0.020739757,-0.047592826,0.054783538,0.061598413,-0.018243976,0.011954792,0.043842368
20,-1.4819567,-0.32938096,-0.5843728,2.2182417,-0.23154785,1.2007481,1.8718905,0.43640578,-0.2495802,0.14467938,0.9843025,0.16130576,1.5696137,-0.7340379,-1.5965453,-1.4175577
21,-0.88368064,-1.1162006,0.7389158,1.0652381,-0.9004073,0.68956447,1.2711213,-0.9536705,2.4285285,0.034362465,0.24740015,-0.18908639,1.193866,0.8790068,0.59376556,-0.44148615
22,1.1995109,-1.0377024,-1.7497305,1.1217543,0.048920095,0.33453307,2.5138645,-0.0034634732,1.4390502,-0.2682889,-1.175967,0.5955297,-0.19321357,0.18607827,-0.55218905,-0.3414144
23,0.056369707,-0.14049369,-0.07864534,0.16567253,-0.05273151,0.17876174,0.35638562,-0.019750917,0.21742193,0.2165493,-0.037510663,0.2120801,0.1434546,-0.10005656,-0.0015836513,-0.21731925
24,0.04920434,-0.21989469,0.10871253,0.20909595,0.12140247,-0.06220533,0.3530508,0.03422282,0.14110695,-0.04630235,0.00797304,0.007513758,0.14520107,0.15268844,-0.14005084,0.033150744
25,-0.03760781,-0.053733118,0.040814787,-0.00037697703,-0.03542112,0.053845815,-0.014088936,0.007090442,0.0028306022,-0.011592835,-0.055249214,-0.029157028,-0.06173438,-0.022184879,-0.039094754,-0.010983989
26,0.11104881,-0.22825223,0.23057266,0.43224445,0.1902148,-0.16154456,0.5000269,0.013272316,0.30851632,0.032615572,-0.11863846,0.00884719,0.09844266,0.13088708,-0.2916887,0.09324615
27,0.058221795,-0.005493894,0.048004895,0.0070289895,0.0037967712,-0.01140701,-0.01783701,-0.030169167,-0.059113488,0.048176937,-0.022823364,-0.04834985,0.019844078,0.043135114,-0.057920575,-0.008942522
28,-0.023022063,-0.05556544,-0.041776,0.057247616,0.047226407,0.020001769,0.048187256,0.025300212,0.02373267,-0.027385473,0.059558228,0.015408814,-0.027770974,0.056021847,-0.023106702,-0.033066258
29,0.04990747,-0.025524616,0.015652888,0.061004676,0.0030529425,0.009603165,-0.039700754,-0.027231432,-0.024432711,0.034879237,0.0356116,0.03644777,-0.044721097,0.041874558,0.04383655,0.037771486
30,0.029391773,-0.045990333,-0.02320081,-0.043968305,0.011986449,0.034449518,0.04784541,-0.049045913,0.03230253,-0.021486446,-0.043357007,-0.0062275752,0.02697175,-0.02004283,-0.04751674,-0.053423807
31,-0.023953713,0.03792689,0.018123217,-0.036204837,0.060696997,-0.05763927,0.054150097,0.012003854,-0.037282698,-0.06088317,-0.050975785,0.032807708,-0.059869386,-0.034932695,-0.008567728,-0.044001117
32,0.006769769,-0.038207203,-0.05025474,-0.025658578,-0.006244406,-0.032925323,-0.0415387,-0.03995025,-0.039258234,-0.052022494,0.055108823,0.01254952,0.055910155,0.033192895,-0.014936358,-0.020947501
33,-0.018319242,0.009508386,-0.058474287,0.02868151,0.039185278,0.009564966,0.032867342,-0.011356957,0.061167546,0.027619995,0.05106277,0.017333679,0.049967118,-0.021643288,-0.016717218,0.028645106
34,0.03925494,-0.038347192,0.059087366,0.008101307,0.018236093,0.032744937,0.008652464,0.033639267,-0.046763256,-0.019004285,-0.0318527,0.051293544,0.0049506724,-0.03072846,0.040907986,-0.03540217
35,-0.13724023,0.4089213,-0.10063113,-0.115062974,-1.1149274,1.0307423,1.1329516,-0.057915494,1.0520374,1.5547373,-0.5380084,-0.8132699,0.57619476,-0.93906015,-1.1459087,-0.9908647
36,0.13398391,-0.6749624,0.36929837,0.9419916,0.31240556,-0.16083607,0.97593623,0.15579475,0.66861683,-0.15200685,-0.1994274,-0.10465294,0.1943205,0.2931641,-0.45781103,0.122136876
37,0.046129722,-0.22165559,0.099037685,0.40541065,0.07129068,-0.19095206,0.3773416,0.0033320962,0.23380497,-0.007125169,-0.09998484,0.00975762,0.17534412,0.15023403,-0.20455015,0.044997785
38,-0.054376993,0.058556665,-0.025104662,-0.07139226,-0.08308246,-0.065239996,0.71241325,-0.008437208,0.15208393,0.2750986,-0.104765095,-0.14334793,0.36511996,-0.06976627,0.12989067,-0.062470123
39,-1.8605264,-0.1426495,-0.34972605,0.70385396,1.2398778,-1.1308405,2.6435683,-0.41276267,1.6831579,0.9395098,-1.1274625,-1.1552564,-0.04665789,-1.1089401,-0.50241613,-0.15611511
40,-0.023733951,0.0211946,0.021223396,-0.040293552,0.060832568,-0.045322195,0.05722157,-0.004468605,-0.05763395,-0.0060023144,0.05719983,0.020756207,0.056545578,0.061985187,-0.003418386,-0.0044102594
41,-0.008380607,-0.031002328,-0.007773839,0.0465618,0.05262921,0.040475704,-0.023977004,0.02648753,-0.03042578,-0.033100024,-0.045099415,-0.02965971,-0.033020474,-0.039262645,0.0034577027,0.052083507
42,0.053234905,-0.24619706,0.132921,0.39432338,0.08528616,-0.08043969,0.42144728,0.06343813,0.28450546,-0.10855944,-0.091765374,-0.041476548,0.18186945,0.16068353,-0.20060907,0.043463524
43,0.03844122,-0.04140258,-0.022339076,0.006937653,0.04026047,0.03643953,-0.059455357,-0.060817733,0.043902352,7.736683e-05,-0.0065510944,0.047667548,-0.036202848,-0.03855679,0.016668782,0.06132129
44,0.17666782,-0.672011,0.34802386,0.9508347,0.3349583,-0.16046266,1.007102,0.047491144,0.61737114,-0.2525867,-0.30462307,-0.18848585,0.22357966,0.28436896,-0.507789,0.055555582
45,-0.04176844,0.037668988,-0.021757856,0.025859036,0.05989755,-0.016904578,-0.05810552,0.020648398,-0.014925145,-0.02280017,0.030652843,0.059538953,-0.0096508935,-0.056737654,-0.014186829,-0.027930304
46,0.09021953,-0.2133559,0.11839118,0.48204124,0.092686504,-0.14082406,0.5585147,0.04889488,0.28533068,-0.04964955,-0.122925706,-0.018844733,0.03501611,0.21921298,-0.28177193,0.107081816
47,0.06276522,-0.61404264,0.3117004,0.90349823,0.306652,-0.29529446,1.0267797,0.18474169,0.54826945,-0.12159057,-0.123858556,-0.08188553,0.18384185,0.2796369,-0.4195511,0.11971894
48,-0.0461089,0.0077366456,-0.04950045,0.0023152977,0.03299866,-0.018001527,0.013161421,-0.053182602,-0.032358274,0.05062928,0.04645838,0.0338244,0.04549469,-0.013479538,-0.021404967,-0.03817507
49,-0.006651424,0.020480722,0.053641185,0.004096076,-0.05517473,-0.02161447,-0.051554784,0.0021888912,0.018631876,-0.035924226,-0.013203092,-0.04672487,-0.044311427,-0.049886093,-0.028403886,-0.048357233
50,0.012753062,-0.036670625,-0.009718731,0.062185153,-0.011142306,0.0082090795,-0.02303455,-0.05217938,-0.05620475,0.03934581,-0.019521862,0.026192725,0.026795268,0.029646605,-0.049563132,0.028269425
51,0.046390906,0.0060935393,-0.004063107,-0.051697776,-0.007915981,0.038432904,-0.060657293,-0.05500468,0.059397377,-0.01088316,-0.015540861,-0.0069076344,0.06203381,-0.010573871,0.021090172,0.03804963
52,0.010166109,0.048097216,-0.003437236,0.0010541752,0.039205045,0.043865874,0.0063901767,-0.030263282,-0.007340573,0.03548319,0.04576485,-0.043542705,0.045404457,0.014980212,0.0140500665,0.041274764
53,0.09104175,-0.23502965,0.1760626,0.31500185,0.08337403,-0.01404082,0.48806125,0.07065405,0.2593389,-0.058902275,-0.118403785,-0.119028926,0.08842732,0.14865138,-0.15788321,0.054837402
54,0.020029753,0.015775353,0.062158458,0.0606666,-0.04462929,0.031336308,0.041588664,0.009528004,0.03542278,-0.05682849,-0.055126794,-0.044185936,0.04507739,0.050805457,0.06007208,-0.033455253
55,-0.0052327216,0.0033707619,0.040755898,-0.031124145,-0.022037439,0.022748455,0.007659726,-0.047721393,-0.046453126,-0.028533235,0.051835895,-0.048904248,-0.030469075,-0.0602362,0.035749033,0.053778537
56,0.13065606,-0.29616416,0.14940238,0.5480654,0.1907468,-0.16423145,0.70780987,0.046494674,0.48756123,-0.1619024,-0.11282365,-0.05652678,0.016791405,0.15047699,-0.25760895,0.16485865
57,0.007770695,-0.05840364,-0.02386365,0.0012527034,-0.04979469,0.00050697476,0.021879487,0.014283806,-0.03137233,-0.046068095,-0.031223707,0.0023770034,-0.0028748289,-0.02079089,0.009104073,0.020894095
58,-0.0033918694,0.023648962,0.02184461,-0.014010824,0.0494112,-0.05381961,0.041713603,-0.033124916,0.043886334,0.048860483,-0.059307575,0.026775979,0.05784803,-0.004171394,-0.021737441,-0.055819422
59,-0.05698269,-0.0007001683,0.023627646,-0.044676207,0.058635183,-0.043471158,-0.06058877,-0.002214387,0.05393505,-0.03500683,-0.0047391355,-0.021924376,0.050760336,0.04309597,-0.005270973,0.053020418
60,0.016086698,-0.56067026,0.383534,0.92380047,0.23357065,-0.24983932,1.0277703,0.14224857,0.6299545,-0.17537543,-0.2127327,-0.19143207,0.21303096,0.37367958,-0.33885708,0.0693059
61,-0.028670147,0.018460914,-0.06115698,-0.009262659,0.011695638,-0.0032022074,-0.028381713,-0.051116735,-0.0139905885,0.0029526204,0.02916824,0.0069618523,-0.029166438,0.0049231797,0.018414877,-0.04442601
62,0.014934324,-0.029485375,0.028368317,-0.0024713129,-0.034187272,0.031206533,0.009099685,-0.029196844,0.051654972,0.034672976,0.0017580315,-0.019890659,-0.057733133,-0.00890971,0.028805338,0.0011642054
63,0.017866604,0.06106752,0.057943,0.05241423,-0.01898174,0.05135782,0.03543479,-0.025534846,-0.050911605,-0.041362748,-0.012946904,-0.020724028,0.0031832606,0.019308075,0.0066215023,0.04470768
64,-0.04853215,-0.061806142,-0.00981389,-0.01405032,-0.01747188,-0.05746393,0.0136938095,-0.058491893,-0.06194818,-0.018564574,-0.06211435,0.042934336,-0.015203424,0.012724645,-0.0067833513,0.0064362213
65,0.013324849,0.048301414,0.010028705,-0.041942343,0.010730989,0.028290868,-0.0501135,0.0022977665,-0.012480393,0.061868146,-0.035507686,-0.024242438,-0.062346697,-0.02753368,-0.006523542,-0.020308807
66,-0.047013737,0.04821495,-0.0029123574,-0.04471355,-0.04731632,0.042415656,0.05991169,0.004470326,0.047661737,-0.027573816,-0.0376454,0.053164683,0.006831236,-0.01347921,0.037615046,-0.013748288
67,0.021789318,-0.17771415,0.096187636,0.105118915,0.10058651,-0.067668475,0.23933552,-0.013520038,0.1325646,0.00086191355,-0.062138606,-0.043262567,0.11309594,0.034038953,-0.1081881,0.022932263
68,0.0077074347,-0.18476725,0.012637532,0.26961946,0.12783654,-0.055472575,0.3435964,-0.019320449,0.16050994,-0.03570753,-0.08620057,-0.09593495,0.042444833,0.052454196,-0.10228741,0.031250495
69,-0.020717718,0.0394732,0.060938537,-0.005537592,0.0029004961,-0.0049738437,-0.042706378,-0.039048776,-0.027297996,0.061287038,0.013716482,-0.062052518,-0.04976414,0.007854581,0.04716298,-0.02324485
70,-0.05488366,0.010333382,0.017459832,-0.049538985,0.009137221,0.027459435,0.054560162,-0.042675816,-0.06090439,-0.03973569,-0.018097058,-0.026602417,0.024954677,0.025628328,-0.04624088,-0.030023731
71,-0.014533773,-0.00355234,-0.032748073,-0.04492873,-0.05752437,0.0028325394,0.051548563,0.011832215,-0.022681668,-0.026929088,0.057904296,-0.016913742,0.029747054,-0.02247119,0.0053712726,-0.02477616
72,-0.062414303,-0.042610012,0.032229155,-0.051137187,0.04893984,0.0013083369,-0.013251536,-0.012970798,-0.0621875,-0.03177589,-0.013468124,0.018739909,0.05118484,-0.041250363,-0.023051143,0.0059647113
73,0.054620463,-0.15361361,0.108034246,0.27310762,-0.069771826,0.027644465,0.20555362,-0.06795076,0.18944395,-0.029509017,-0.09090408,-0.056505606,0.12761036,0.1287843,-0.14482924,0.017142624
74,0.0020198822,-0.05684515,-0.030390956,-0.007516399,0.057676107,-0.02261278,-0.031421483,0.008716039,0.02477353,0.0019629449,-0.060863882,-0.02065061,0.016279392,-0.04621449,-0.017411776,0.033713356
