in_degree,out_degree,in_strength_total,out_strength_total,in_strength_count,out_strength_count,clustering_coefficient,cluster
7,20,727230.0,156991.0,1877,1066,0.05238095238095238,0
4,14,2079.0,3092630.0,4,345,0.03333333333333333,0
15,23,975983.0,1901671.0,3896,1631,0.0,0
7,18,542918.0,1659325.0,210,934,0.030303030303030304,0
9,22,291192.0,1279410.0,358,996,0.05555555555555555,0
9,18,76984.0,1930615.0,29,664,0.0,0
8,15,24707.0,206388.0,16,406,0.0,0
12,16,1017398.0,940262.0,540,801,0.07142857142857142,0
5,17,67170.0,359666.0,40,489,0.0,0
6,14,1392814.0,1028476.0,124,634,0.0,0
12,19,186088.0,1356816.0,1153,803,0.0,0
12,25,48101.0,580915.0,53,782,0.0,0
10,18,1961509.0,3168605.0,533,750,0.0,0
8,13,180803.0,815614.0,42,273,0.0,0
11,22,710023.0,3377180.0,877,1880,0.021538461538461538,0
6,15,182228.0,7026286.0,147,831,0.0196078431372549,0
9,13,1205172.0,2598230.0,234,678,0.021052631578947368,0
7,19,425627.0,1312526.0,73,1396,0.004761904761904762,0
5,12,14651.0,1105687.0,11,875,0.0,0
9,16,1113121.0,867340.0,168,785,0.0,0
10,20,123786.0,3937683.0,84,1059,0.05627705627705628,0
3,4,24071.0,578612.0,16,251,0.0,0
5,11,39118.0,283340.0,7,169,0.03636363636363636,0
8,25,275362.0,1608811.0,58,2381,0.024630541871921183,0
6,8,30408.0,1000141.0,33,1233,0.07575757575757576,0
10,18,24693.0,274510.0,32,535,0.0,0
10,16,1742188.0,1525243.0,816,1119,0.07792207792207792,0
5,16,137794.0,1839517.0,99,823,0.0,0
18,23,1097664.0,1372383.0,304,1017,0.0064516129032258064,0
17,31,441919.0,1528236.0,596,729,0.05975609756097561,0
14,18,1635651.0,633236.0,874,839,0.0,0
8,14,716068.0,706955.0,522,364,0.0,0
19,20,480423.0,3664933.0,121,1324,0.017241379310344827,0
8,26,301813.0,2166720.0,208,1687,0.024630541871921183,0
4,12,25386.0,637940.0,17,622,0.038461538461538464,0
5,12,530745.0,248265.0,45,633,0.0,0
4,8,3443.0,655588.0,10,792,0.08333333333333333,0
4,6,311048.0,868937.0,39,867,0.10714285714285714,0
6,13,10906.0,2448918.0,40,720,0.02857142857142857,0
10,14,1139552.0,7449308.0,65,1060,0.017543859649122806,0
13,14,68892.0,331904.0,271,909,0.023809523809523808,0
8,9,165779.0,604933.0,273,751,0.0,0
18,12,514732.0,7482473.0,366,745,0.05,0
4,11,1374388.0,185691.0,120,175,0.054945054945054944,0
7,14,97954.0,758346.0,44,484,0.05228758169934641,0
4,7,10190.0,1196188.0,9,284,0.0,0
7,13,247717.0,5804440.0,458,1337,0.01098901098901099,0
7,13,148037.0,2016363.0,60,905,0.008333333333333333,0
12,19,4940820.0,1454076.0,4659,861,0.01,0
3,15,1856.0,111743.0,13,898,0.01904761904761905,0
13,26,4373774.0,5437841.0,793,808,0.009852216748768473,0
10,15,79611.0,694995.0,162,1278,0.0,0
15,30,4360699.0,1450389.0,3465,831,0.011379800853485065,0
5,8,252365.0,663995.0,46,315,0.0,0
6,18,28503.0,953088.0,24,1026,0.0,0
9,4,235324.0,755963.0,348,352,0.12727272727272726,0
7,16,111922.0,1430532.0,24,653,0.05263157894736842,0
10,15,4973198.0,495703.0,1713,590,0.0,0
9,16,111024.0,892981.0,70,787,0.023809523809523808,0
9,15,11569.0,1001676.0,28,1117,0.005847953216374269,0
7,16,550299.0,1392537.0,224,651,0.03508771929824561,0
8,21,142755.0,1432045.0,57,1638,0.0,0
10,15,16204851.0,1418379.0,6366,767,0.0,4
9,17,383492.0,1990735.0,138,1085,0.021052631578947368,0
5,8,2866905.0,2368958.0,67,502,0.0,0
15,19,412284.0,1654430.0,1171,1130,0.0,0
9,16,847748.0,1380353.0,478,1283,0.011695906432748537,0
14,23,78632.0,10665051.0,54,1279,0.05846774193548387,0
10,25,382788.0,655677.0,321,1764,0.0,0
8,13,1177407.0,659470.0,568,567,0.006535947712418301,0
5,9,4973625.0,1717480.0,1632,510,0.05128205128205128,0
4,8,81683.0,2260105.0,25,1005,0.022222222222222223,0
7,11,290858.0,990189.0,55,450,0.0,0
14,29,2737088.0,1969481.0,2478,838,0.012698412698412698,0
5,13,390675.0,707283.0,23,446,0.06666666666666667,0
12,24,177346.0,874209.0,123,1218,0.0,0
6,12,8891.0,459998.0,10,265,0.0,0
10,29,157479.0,304080.0,322,530,0.004301075268817204,0
4,14,21177.0,791926.0,33,1142,0.0380952380952381,0
7,10,273589.0,1830328.0,147,586,0.0,0
7,15,66614.0,566192.0,79,282,0.05789473684210526,0
11,14,4737833.0,4216099.0,6157,985,0.05228758169934641,0
3,2,69718.0,911178.0,70,603,0.0,0
5,14,45931441.0,8696875.0,372,1541,0.03296703296703297,4
5,3,226923.0,762187.0,246,224,0.13333333333333333,0
15,29,122335.0,1820288.0,237,1652,0.016042780748663103,0
7,18,135437.0,556791.0,45,801,0.0,0
3,11,97713.0,1080165.0,49,789,0.015151515151515152,0
7,15,1725891.0,934284.0,886,596,0.03508771929824561,0
9,13,40622.0,1458093.0,84,3705,0.03333333333333333,0
9,13,2764348.0,993269.0,2563,1181,0.029411764705882353,0
10,11,237106.0,961567.0,106,820,0.0,0
3,3,3431303.0,1323136.0,424,372,0.3333333333333333,0
9,13,475475.0,1595705.0,1138,750,0.03676470588235294,0
10,18,1069867.0,246371.0,2057,509,0.043478260869565216,0
8,13,83333.0,296175.0,215,331,0.0,0
9,18,1929099.0,1574225.0,3046,996,0.03333333333333333,0
6,6,215633.0,3268886.0,824,328,0.19047619047619047,0
12,13,1141206.0,1023574.0,1112,559,0.0,0
11,8,911691.0,5945061.0,744,816,0.05,0
9,9,38140.0,173176.0,159,108,0.0641025641025641,0
7,8,54266.0,1719346.0,215,542,0.0,0
10,13,97007.0,1035436.0,173,2157,0.023391812865497075,0
10,17,938484.0,914034.0,517,642,0.0,0
6,13,22640.0,326024.0,10,259,0.029411764705882353,0
9,18,57348.0,702984.0,142,1330,0.0,0
7,21,229657.0,1338585.0,688,548,0.03260869565217391,0
8,9,642951.0,2760081.0,54,615,0.015151515151515152,0
8,23,8485760.0,5549449.0,636,1048,0.019943019943019943,0
7,8,7443801.0,2037749.0,3193,641,0.03636363636363636,0
4,12,235894.0,2063695.0,72,931,0.0,0
7,12,121900.0,945828.0,68,780,0.0,0
14,20,3336138.0,1931919.0,2915,1702,0.0,0
13,23,1638157.0,1148040.0,1052,1375,0.006153846153846154,0
3,9,28109.0,120426.0,39,363,0.0,0
8,14,205460.0,882220.0,69,696,0.05228758169934641,0
7,9,20114.0,2392387.0,11,559,0.038461538461538464,0
6,15,139869.0,3227201.0,85,995,0.058823529411764705,0
10,25,712111.0,16408971.0,369,1521,0.0,5
9,7,1034952.0,98057.0,720,207,0.0,0
12,15,242162.0,1434216.0,237,1022,0.05138339920948617,0
8,16,917440.0,1845012.0,715,764,0.023391812865497075,0
7,9,17540.0,385910.0,12,346,0.07575757575757576,0
6,17,17239.0,472848.0,14,245,0.06190476190476191,0
8,15,807517.0,580809.0,957,633,0.0,0
5,20,11358.0,998742.0,14,1180,0.008658008658008658,0
11,17,73520.0,100819.0,19,65,0.10333333333333333,0
8,15,274254.0,758036.0,206,541,0.005847953216374269,0
8,15,496540.0,1186863.0,201,1709,0.0,0
15,16,5285706.0,3016117.0,2587,1375,0.0,0
14,23,3750378.0,5738625.0,795,1555,0.0812807881773399,0
7,15,65737.0,1954550.0,127,1636,0.005847953216374269,0
9,18,2637262.0,1353530.0,4669,1147,0.0,0
9,18,792698.0,2292016.0,192,2018,0.008658008658008658,0
6,12,64531.0,664887.0,48,623,0.0641025641025641,0
8,23,717128.0,1249531.0,928,1059,0.06666666666666667,0
10,17,979359.0,336944.0,422,859,0.0,0
7,12,620289.0,2347909.0,1268,1032,0.0,0
10,22,415229.0,1729156.0,179,2090,0.009230769230769232,0
11,15,29395.0,1889618.0,154,924,0.0,0
12,16,134344.0,1534028.0,56,713,0.023391812865497075,0
3,10,389526.0,1034117.0,203,551,0.07272727272727272,0
5,12,8750.0,496614.0,11,424,0.0,0
7,9,26765.0,2302886.0,27,494,0.06666666666666667,0
10,16,314589.0,2013874.0,584,873,0.05138339920948617,0
12,14,914725.0,1100183.0,235,674,0.09090909090909091,0
14,24,5199931.0,10216550.0,1559,2235,0.07956989247311828,0
9,17,98153.0,588843.0,533,1055,0.0,0
2,5,42346.0,478844.0,10,160,0.0,0
5,9,2598221.0,1348424.0,321,808,0.15555555555555556,0
8,11,36619.0,1258768.0,22,1015,0.0,0
8,3,1306666.0,2145056.0,92,178,0.1111111111111111,0
10,16,58968.0,890308.0,28,889,0.010526315789473684,0
7,16,179455.0,1672403.0,35,1484,0.05228758169934641,0
5,20,357848.0,774794.0,68,884,0.030303030303030304,0
5,16,2494968.0,577998.0,2377,430,0.005847953216374269,0
8,13,57016.0,998767.0,40,928,0.0,0
8,18,488416.0,6349425.0,182,1407,0.0,0
8,20,547865.0,2327608.0,868,1104,0.0,0
5,12,1722072.0,1064146.0,93,466,0.0,0
6,13,432261.0,12102671.0,40,901,0.0,0
15,13,450841.0,3281115.0,227,492,0.10461538461538461,0
10,21,588877.0,1152929.0,3117,1288,0.007246376811594203,0
6,7,144477.0,2990455.0,92,316,0.015151515151515152,0
13,28,808422.0,3266137.0,296,3076,0.013445378151260505,0
7,6,127461.0,1327060.0,36,819,0.0,0
6,16,36667.0,2429075.0,20,1567,0.005847953216374269,0
8,19,47155.0,1476719.0,43,846,0.04329004329004329,0
6,11,56825.0,1769001.0,23,523,0.08791208791208792,0
3,10,7550.0,1010894.0,14,977,0.0,0
8,9,68501.0,1354794.0,125,479,0.015151515151515152,0
8,24,102154.0,948334.0,66,1312,0.021164021164021163,0
9,19,57319.0,459869.0,75,1157,0.023715415019762844,0
5,14,709501.0,1969355.0,151,2431,0.0,0
10,9,121894.0,99142.0,644,220,0.058823529411764705,0
5,14,36971.0,828527.0,59,934,0.0,0
8,27,110144.0,1303936.0,48,785,0.0,0
7,27,77136.0,2232670.0,28,967,0.013793103448275862,0
3,7,3246.0,259962.0,7,486,0.0,0
9,21,136181.0,2559811.0,117,459,0.011396011396011397,0
12,17,181294.0,3249963.0,147,3533,0.019762845849802372,0
7,18,42357.0,1388994.0,33,829,0.005263157894736842,0
5,9,687317.0,3387809.0,268,1449,0.044444444444444446,0
9,12,120622.0,227379.0,49,409,0.0,0
7,10,217526.0,766526.0,195,361,0.05128205128205128,0
9,23,1306824.0,1013030.0,1465,1495,0.021538461538461538,0
10,13,1994637.0,1242308.0,1661,1062,0.022058823529411766,0
8,14,2147750.0,406655.0,413,357,0.0,0
9,26,118089.0,786329.0,173,518,0.007389162561576354,0
8,14,225069.0,1221416.0,121,1066,0.14285714285714285,0
5,4,43910.0,100058.0,14,129,0.0,0
5,19,378417.0,982484.0,118,1280,0.021052631578947368,0
3,15,1303798.0,1992861.0,647,1139,0.016666666666666666,0
9,11,22434.0,239298.0,142,508,0.0380952380952381,0
7,14,34061.0,1629199.0,44,1813,0.0,0
10,17,719428.0,622131.0,431,302,0.0,0
12,25,344386.0,5033059.0,307,2001,0.012903225806451613,0
8,17,368029.0,727627.0,83,364,0.0,0
7,22,64178.0,1719338.0,26,1252,0.057971014492753624,0
11,25,265030.0,2041377.0,1487,1175,0.015873015873015872,0
16,19,317314.0,4383513.0,275,2013,0.018518518518518517,0
7,9,1153564.0,421348.0,2129,439,0.03296703296703297,0
14,17,93066.0,766934.0,175,681,0.014245014245014245,0
7,18,991703.0,1161442.0,146,1638,0.014285714285714285,0
13,11,181112.0,96611.0,38,312,0.0761904761904762,0
9,16,40369.0,1416429.0,14,833,0.043478260869565216,0
8,29,441362.0,2680865.0,201,2657,0.03870967741935484,0
10,17,145918.0,407277.0,226,1224,0.05194805194805195,0
6,16,359960.0,1214350.0,932,1005,0.0,0
10,13,5683045.0,1835733.0,3430,225,0.0,0
9,23,328460.0,5446101.0,379,949,0.0,0
8,24,121096.0,7923673.0,43,1392,0.0,0
8,19,1082837.0,3655182.0,829,3175,0.0,0
6,19,97191.0,3558950.0,13,1047,0.007905138339920948,0
9,9,632607.0,529837.0,2251,1308,0.0,0
7,21,817488.0,990255.0,610,823,0.0,0
9,13,121672.0,2228307.0,58,1208,0.0,0
10,17,274006.0,1261432.0,60,1054,0.0,0
3,7,3734.0,3111488.0,13,367,0.0,0
8,18,619329.0,364941.0,1129,508,0.025974025974025976,0
7,11,174950.0,1286951.0,46,778,0.054945054945054944,0
5,19,9262569.0,5573450.0,115,927,0.0,0
7,8,150835.0,520851.0,67,563,0.030303030303030304,0
3,10,184771.0,994686.0,169,1405,0.07272727272727272,0
14,17,269466.0,2137676.0,59,955,0.013333333333333334,0
5,15,535438.0,1006561.0,160,1277,0.0,0
9,7,1534400.0,569442.0,2390,574,0.09090909090909091,0
4,16,49155.0,2007973.0,34,1308,0.0,0
7,16,61672.0,540569.0,8,277,0.015789473684210527,0
9,26,996826.0,1426251.0,1070,1446,0.0,0
9,15,504957.0,1267560.0,136,1262,0.007352941176470588,0
6,7,229250.0,147395.0,734,208,0.0,0
6,6,1476365.0,247937.0,2723,269,0.0,0
6,11,276519.0,3185978.0,185,859,0.0,0
5,13,151760.0,1371455.0,138,1373,0.016666666666666666,0
2,2,17305.0,323206.0,5,385,0.0,0
10,24,68927.0,694188.0,136,733,0.05982905982905983,0
14,20,5144659.0,652211.0,308,747,0.027692307692307693,0
8,27,3162694.0,723625.0,2433,552,0.013793103448275862,0
5,10,1432514.0,2536275.0,87,903,0.0,0
8,13,18105938.0,13138446.0,5376,870,0.03508771929824561,4
8,28,1185993.0,2062004.0,115,1545,0.03870967741935484,0
9,29,326429.0,1927620.0,773,1294,0.0,0
14,16,532319.0,1160035.0,896,1181,0.019762845849802372,0
6,6,45273.0,556246.0,18,96,0.05454545454545454,0
5,25,22560.0,1088502.0,19,1516,0.07142857142857142,0
8,23,151652.0,2634523.0,69,706,0.0,0
5,9,59241.0,275835.0,22,313,0.0,0
2,4,16163.0,41867.0,36,232,0.0,0
7,15,2997090.0,319993.0,192,553,0.0,0
5,5,1219010.0,1671873.0,324,426,0.0,0
8,12,149741.0,714833.0,48,538,0.0,0
4,21,63942.0,846086.0,134,1789,0.008658008658008658,0
7,11,3453475.0,1441247.0,848,876,0.08791208791208792,0
6,9,153744.0,617133.0,85,346,0.022222222222222223,0
6,5,62216.0,498432.0,18,134,0.03571428571428571,0
15,20,245742.0,2993062.0,135,814,0.05172413793103448,0
10,20,195965.0,4244756.0,115,826,0.03260869565217391,0
4,6,2039253.0,2680967.0,161,848,0.0,0
7,22,404593.0,1487814.0,372,2124,0.027692307692307693,0
5,11,358286.0,1364197.0,258,748,0.015151515151515152,0
10,15,872172.0,7306640.0,1281,1093,0.05263157894736842,0
9,15,398839.0,1583220.0,535,654,0.047619047619047616,0
7,14,906590.0,3160386.0,185,1274,0.041666666666666664,0
8,7,723498.0,2476678.0,162,560,0.07272727272727272,0
